x, y
2.5, 10.450450450450461
2.593196644920783, -45.045045045045015
2.7050326188257223, -80.36036036036039
2.8005591798695244, -96.21621621621627
2.9007455731593663, -105.58558558558566
3.003261882572227, -104.8648648648649
3.1057781919850886, -98.37837837837843
3.194315004659832, -95.49549549549556
3.282851817334576, -88.28828828828833
3.3807082945013978, -79.6396396396397
3.508853681267474, -73.87387387387392
3.5950605778191984, -65.945945945946
3.7022367194780985, -58.73873873873882
3.7954333643988813, -53.69369369369372
3.904939422180801, -46.48648648648654
4.01910531220876, -45.045045045045015
4.0936626281453865, -42.88288288288294
4.186859273066169, -39.27927927927939
